optimizer,epoch,val_loss,val_accuracy,val_f1_score,val_auc,val_loss_std_err,val_accuracy_std_err,val_f1_score_std_err,val_auc_std_err
MILO_eps_1e-05,1,0.07386709188580512,97.34700000000001,0.9734658012237897,0.9995930623333333,0.0035790566170215625,0.08500000000000084,0.0008661451680734843,4.441888888762069e-06
MILO_eps_1e-05,2,0.06337439035952092,97.744,0.9774528143821808,0.9997170646666667,0.0033081346613168697,0.19599999999999795,0.0019976920885860228,1.946666666663432e-05
MILO_eps_1e-05,3,0.05142501704722643,98.176,0.9817345551699237,0.9998113085555556,0.003374002156555651,0.09799999999999898,0.0009762095315004604,9.767222222123449e-06
MILO_eps_1e-05,4,0.04414773181915283,98.364,0.9836097564877216,0.9998375237777777,0.002171196143627166,0.11599999999999966,0.0011726247246817145,2.5798888888817206e-05
MILO_eps_1e-05,5,0.041270078020244835,98.543,0.9854163348555798,0.9998699268888889,0.001995609288066625,0.07700000000000527,0.0007883200381430533,1.5969111111180375e-05
MILO_eps_1e-05,6,0.03810915888100863,98.642,0.9864236751009371,0.9998669958888888,0.0030246124234795564,0.1739999999999995,0.0017421859616878477,1.3065000000034297e-05
MILO_eps_1e-05,7,0.03711043956883252,98.681,0.9868151385429729,0.9998749781111111,0.0038575500266999,0.11299999999999953,0.00110964957420695,2.824988888888713e-05
MILO_eps_1e-05,8,0.0330338475304842,98.827,0.9882747121008186,0.9998971663333334,0.0034600472295284283,0.1290000000000049,0.0012853302646478326,1.971544444440143e-05
MILO_eps_1e-05,9,0.03171853337720036,98.894,0.9889341891519592,0.9998976777777777,0.0010089927481114862,0.047999999999994714,0.0004803962599366218,4.065333333358456e-06
MILO_eps_1e-05,10,0.030210767947994176,98.90899999999999,0.989098197204316,0.9999110852222223,0.0027739938991889358,0.0970000000000013,0.0009721347429581527,1.872233333333195e-05
MILO_eps_0.005,1,0.07073047109484673,97.537,0.9753121370442397,0.999734229,0.002862466562986374,0.08099999999999596,0.0008180393931489505,1.0978555555540837e-05
MILO_eps_0.005,2,0.05040597792476416,98.236,0.9824014267656997,0.9998331707777777,0.0038432917013764382,0.1340000000000003,0.0013228452411458422,2.3370111111142844e-05
MILO_eps_0.005,3,0.03586371266245842,98.731,0.9873046923116784,0.9998919716666668,0.0009444145745039003,0.06500000000000483,0.000651729092919162,6.128555555540149e-06
MILO_eps_0.005,4,0.03597409195274115,98.703,0.9870624340429983,0.9998992991111111,0.0018904434016346924,0.054999999999999716,0.0005281292762006616,2.139111111132408e-06
MILO_eps_0.005,5,0.033708052206635475,98.771,0.9876856676887138,0.9999116855555554,0.001009552347660064,0.0010000000000047748,3.2942971963656476e-06,9.31444444446372e-06
MILO_eps_0.005,6,0.027452322653234003,99.055,0.9905531477446322,0.9999313872222222,0.0013325852411985393,0.012999999999998122,0.00012467050664410892,3.5414444445325266e-06
MILO_eps_0.005,7,0.02846738348931074,98.985,0.9898677515932844,0.9999332367777778,0.004310415416657925,0.13700000000000045,0.0013544036612035402,1.3131666666721387e-05
MILO_eps_0.005,8,0.026845788853541018,99.089,0.9908927573075038,0.9999366542222222,0.00032763116307556704,0.0030000000000001137,3.113027790035971e-05,4.5782222222179306e-06
MILO_eps_0.005,9,0.025252938652969896,99.09,0.9908935923206442,0.9999397254444445,0.00020897414330393012,0.036000000000001364,0.0003618183816156417,8.793000000006932e-06
MILO_eps_0.005,10,0.02429901696488261,99.125,0.99124597277309,0.9999504339999999,0.001459961742907762,0.049000000000006594,0.0004899857706049392,3.869555555646719e-06
MILO_eps_0.05,1,0.07846176529705524,97.405,0.9741334955874201,0.9996734316666667,0.0009015712672472004,0.04899999999999949,0.0005124453092146264,6.877122222226362e-05
MILO_eps_0.05,2,0.05354740972965956,98.124,0.981216835282037,0.9998009071111111,0.005416189619004727,0.2580000000000026,0.0026222070331922143,4.1460666666714996e-05
MILO_eps_0.05,3,0.04888326617106795,98.249,0.982467097020595,0.9998521127777777,0.002219580280929806,0.08500000000000084,0.0007940443174562217,2.8017666666713122e-05
MILO_eps_0.05,4,0.038097183023989206,98.63,0.9862861346563134,0.9998840112222224,0.003074863160550594,0.11800000000000209,0.0011887829943842965,2.063122222217828e-05
MILO_eps_0.05,5,0.040878577514514326,98.565,0.9856705161235626,0.9998842170000001,0.004594272033795713,0.17900000000000207,0.0017855937976123393,2.0078333333284345e-05
MILO_eps_0.05,6,0.042536040886938575,98.45599999999999,0.9845748413365207,0.9998919474444443,0.005628029694557193,0.2040000000000006,0.0020545088857615856,1.3538555555581144e-05
MILO_eps_0.05,7,0.03976149325698614,98.57900000000001,0.9857894601758662,0.9998904678888889,0.005329818483889102,0.19900000000000517,0.0020118963583568568,2.0532111111137837e-05
MILO_eps_0.05,8,0.04069491075918079,98.536,0.9853921637382979,0.9998971951111112,0.002061207055002453,0.10999999999999943,0.001109148847102226,2.3228666666708087e-05
MILO_eps_0.05,9,0.030252220974713563,98.944,0.9894588597983687,0.9999252293333334,0.0036738629724085334,0.12199999999999987,0.0012022194695278654,1.3815555555463098e-05
MILO_eps_0.05,10,0.04368484892874956,98.49799999999999,0.9849813428769114,0.9999046464444443,0.002996727983653545,0.08399999999999606,0.0008983489525678512,6.864444443976935e-07
