epoch,layer,epoch_mean_update,epoch_std_update,optimizer,run
1,fc1,1.4949115406454787,1.3363469634709753,MILO,1
2,fc1,0.6625039677423781,0.0693672843499642,MILO,1
3,fc1,0.5066560645638862,0.0415245255501293,MILO,1
4,fc1,0.423903458673004,0.03852590953153451,MILO,1
5,fc1,0.3670707807975354,0.03702278237458673,MILO,1
1,fc2,0.1798535598659414,0.15138936316306773,MILO,1
2,fc2,0.07922045351471842,0.00832474834143425,MILO,1
3,fc2,0.06061126608280295,0.004005583610720893,MILO,1
4,fc2,0.0507917932305627,0.00291820861251982,MILO,1
5,fc2,0.04424889910638265,0.0024225525559376884,MILO,1
1,fc1,1.506791886823374,1.3349944458883545,MILO_LW,1
2,fc1,0.6653436029237915,0.07645045632320652,MILO_LW,1
3,fc1,0.508644906994572,0.04983753639147123,MILO_LW,1
4,fc1,0.42688416840427684,0.04015032085159949,MILO_LW,1
5,fc1,0.3695563200490617,0.0382790359656711,MILO_LW,1
1,fc2,0.18005483499079872,0.15035969798101884,MILO_LW,1
2,fc2,0.07958801601370206,0.008493347082887546,MILO_LW,1
3,fc2,0.06064045736241798,0.004355980514162109,MILO_LW,1
4,fc2,0.05090067279660588,0.002908853151807598,MILO_LW,1
5,fc2,0.04452552196391843,0.0022615627000989345,MILO_LW,1
1,fc1,0.06677195865846071,0.023678064525740426,SGD,1
2,fc1,0.051912897538345784,0.006879454017637503,SGD,1
3,fc1,0.04813594174456835,0.007092342189599624,SGD,1
4,fc1,0.04617801169439308,0.007083099647911029,SGD,1
5,fc1,0.044470082151668824,0.007446344191903191,SGD,1
1,fc2,0.044492842805210604,0.021554020353817725,SGD,1
2,fc2,0.027664577400503283,0.005169740260110383,SGD,1
3,fc2,0.024124463023922977,0.004929252263566721,SGD,1
4,fc2,0.022446633335714592,0.004449321225236243,SGD,1
5,fc2,0.02115481741150359,0.00445427959003447,SGD,1
1,fc1,1.3530235356149,0.9247141864666237,ADAMW,1
2,fc1,1.1452541410980916,0.12999352588268906,ADAMW,1
3,fc1,1.0728824231298666,0.1243615018254248,ADAMW,1
4,fc1,1.1354806375744244,0.19175411594121508,ADAMW,1
5,fc1,1.151874202745741,0.23567313561972883,ADAMW,1
1,fc2,0.17600342176797407,0.13090814419016822,ADAMW,1
2,fc2,0.14573220359378178,0.023235349423274904,ADAMW,1
3,fc2,0.13914840049861066,0.021579645598304102,ADAMW,1
4,fc2,0.14993753891522638,0.03320263946555093,ADAMW,1
5,fc2,0.14938970738507212,0.029523068316075228,ADAMW,1
