optimizer,epoch,train_loss,train_accuracy,train_f1_score,train_auc,train_loss_std_err,train_accuracy_std_err,train_f1_score_std_err,train_auc_std_err
MILO,1,4.0027567376529465,11.383006535947713,0.07550122857491137,0.8164190392952441,0.0,0.0,0.0,0.0
MILO,2,3.87898362234527,13.79607843137255,0.1001301041148323,0.837286518998966,0.0,0.0,0.0,0.0
MILO,3,3.7935822425917083,15.166013071895424,0.11343972276366712,0.8496672863462006,0.0,0.0,0.0,0.0
MILO,4,3.731324781841702,16.32941176470588,0.12594285733771338,0.8586954509308985,0.0,0.0,0.0,0.0
MILO,5,3.6760922730015775,17.181699346405228,0.13191278499275635,0.8657573188603996,0.0,0.0,0.0,0.0
MILO_LW,1,3.9981543607026144,11.30718954248366,0.07761629003218021,0.816386065570322,0.0,0.0,0.0,0.0
MILO_LW,2,3.8784873935599733,13.032679738562091,0.09185319460857745,0.8368411582769275,0.0,0.0,0.0,0.0
MILO_LW,3,3.7904695939581377,15.009150326797386,0.11352183850356051,0.850599087477494,0.0,0.0,0.0,0.0
MILO_LW,4,3.735277748369703,15.994771241830065,0.12502055087262542,0.8587850384310102,0.0,0.0,0.0,0.0
MILO_LW,5,3.681920063804178,16.998692810457516,0.13315264232773988,0.866088680241095,0.0,0.0,0.0,0.0
SGD,1,4.121012393901551,7.654901960784314,0.044893174999024066,0.7744109451078959,0.0,0.0,0.0,0.0
SGD,2,3.9404300776712256,9.96078431372549,0.06606040881428815,0.8037434164798269,0.0,0.0,0.0,0.0
SGD,3,3.7878557103225607,12.433986928104575,0.09315747740008627,0.8247307776529835,0.0,0.0,0.0,0.0
SGD,4,3.690718131931779,13.837908496732027,0.1046178891527218,0.8394111402591009,0.0,0.0,0.0,0.0
SGD,5,3.5766127257128946,16.073202614379085,0.12820947501353785,0.8542146574987554,0.0,0.0,0.0,0.0
ADAMW,1,3.770614270578023,10.596078431372549,0.07269411094551825,0.8239143018218613,0.0,0.0,0.0,0.0
ADAMW,2,3.480600007811403,15.98954248366013,0.1388535442573686,0.8630408683051272,0.0,0.0,0.0,0.0
ADAMW,3,3.1804585636986626,21.29673202614379,0.1880736131649624,0.89571620615192,0.0,0.0,0.0,0.0
ADAMW,4,3.01067921148562,24.044444444444444,0.2203792419011085,0.9112759083432291,0.0,0.0,0.0,0.0
ADAMW,5,2.7890114196577884,28.78169934640523,0.2725291465052917,0.9253264599488985,0.0,0.0,0.0,0.0
ADAGRAD,1,4.27867607620339,6.209150326797386,0.03223482654856005,0.7518389886037459,0.0,0.0,0.0,0.0
ADAGRAD,2,4.265018720913557,6.520261437908497,0.03471278266964778,0.7562026230159121,0.0,0.0,0.0,0.0
ADAGRAD,3,4.259509180629955,6.525490196078431,0.0346895564222595,0.7579103878822023,0.0,0.0,0.0,0.0
ADAGRAD,4,4.2561242061440465,6.583006535947712,0.03495156105726807,0.758953172007658,0.0,0.0,0.0,0.0
ADAGRAD,5,4.253851207957548,6.596078431372549,0.03514877036333712,0.7596429667927079,0.0,0.0,0.0,0.0
ADEMAMIX,1,3.6707488777185575,12.794771241830066,0.09974402358140398,0.8379455552855525,0.0,0.0,0.0,0.0
ADEMAMIX,2,3.2982527867485496,18.959477124183007,0.1665514958604946,0.8830526541793059,0.0,0.0,0.0,0.0
ADEMAMIX,3,3.0653711391897764,23.069281045751634,0.20866912460200823,0.9065020335476328,0.0,0.0,0.0,0.0
ADEMAMIX,4,2.824320413178089,28.284967320261437,0.26534628521013487,0.9223964474438802,0.0,0.0,0.0,0.0
ADEMAMIX,5,2.7017860540252885,30.041830065359477,0.2858327518968034,0.9329591559606008,0.0,0.0,0.0,0.0
SOAP,1,3.3397834936528423,21.701960784313727,0.18099070442099943,0.8914166326644574,0.0,0.0,0.0,0.0
SOAP,2,2.637414033191656,33.52418300653595,0.31078453252293586,0.9394451653023588,0.0,0.0,0.0,0.0
SOAP,3,2.2104243270026314,41.9921568627451,0.40517013660576107,0.9603002543581415,0.0,0.0,0.0,0.0
SOAP,4,1.8068713417676538,51.411764705882355,0.5083983581498674,0.9749866687687374,0.0,0.0,0.0,0.0
SOAP,5,1.5068817459368238,58.46797385620915,0.5785365931695094,0.9841699266182544,0.0,0.0,0.0,0.0
