experiment,optimizer,epoch,train_loss,train_accuracy,train_f1_score,train_auc,train_loss_std_err,train_accuracy_std_err,train_f1_score_std_err,train_auc_std_err
attention_cnn,MILO,1,1.5136012277067097,48.91869281045752,0.4828897029030489,0.8799641846068564,0.0052075465114921,0.1324295912961337,0.0015037857574526,0.0009085654032227
attention_cnn,MILO,2,1.3928969194960747,52.71999999999999,0.5210587293039447,0.895693767593911,0.0054475956539391,0.2640517698823634,0.002720122548931,0.0008058510978674
attention_cnn,MILO,3,1.3292525281444874,54.49934640522876,0.5401295283186041,0.9039290077433983,0.0064460402206148,0.2021829689268837,0.0022433133884643,0.0008491041531911
attention_cnn,MILO,4,1.279050643297582,56.11973856209151,0.5574348563736382,0.909434989097204,0.0068334204051519,0.2714203995240568,0.0027550591828916,0.0007957045813321
attention_cnn,MILO,5,1.248325894290949,56.885751633986935,0.5637374208288557,0.913892339542009,0.0057055890844851,0.2866430313715881,0.0026457267972761,0.0007920737761394
attention_cnn,MILO,6,1.2248778896057528,57.74588235294118,0.5718108297265094,0.9169579343647222,0.0056079438027501,0.2889928538564164,0.0043612600797912,0.0005955109970788
attention_cnn,MILO,7,1.1948769224503462,58.93281045751635,0.5866063587661066,0.920174407919464,0.0063366371598002,0.2668465368001433,0.0024899656346018,0.0006794227505254
attention_cnn,MILO,8,1.1747911825716106,59.516862745098045,0.5905991214525024,0.9224547159877062,0.0045466812320744,0.1407118959763969,0.0010602485013337,0.0004626168239408
attention_cnn,MILO,9,1.161163138126548,59.87607843137255,0.5947000129518505,0.9242375289289404,0.0045678094376092,0.1750240397736747,0.0021720109854702,0.0005999208075232
attention_cnn,MILO,10,1.1468474890228968,60.38797385620914,0.60017592286187,0.9258583963859006,0.0082928411772904,0.3829307739206233,0.0042956277833258,0.0006876503727973
attention_cnn,MILO_LW,1,1.5191905457540276,48.53960784313726,0.4750703714811233,0.8787694791876298,0.0068790098637191,0.536271924892106,0.0052038714826671,0.0013229667640674
attention_cnn,MILO_LW,2,1.393370057740554,52.71267973856209,0.5207398755675074,0.8952661281202836,0.0046708848438687,0.1990581436660782,0.0020231315188481,0.0006438571818941
attention_cnn,MILO_LW,3,1.3292816628449882,54.61124183006537,0.541381713655718,0.9036637252558392,0.0027754726863244,0.1609498058985977,0.0013019708508405,0.0003434673862745
attention_cnn,MILO_LW,4,1.2854260500515209,55.64235294117648,0.5515345676279756,0.909143051030763,0.0041969944947415,0.1986969383816122,0.0018375306108202,0.0005737486027843
attention_cnn,MILO_LW,5,1.247721069748573,57.16287581699347,0.5679232660116792,0.9133420115927028,0.0044658650049473,0.2432305675181076,0.001856313456758,0.0006561210132144
attention_cnn,MILO_LW,6,1.221050359176187,57.90065359477124,0.574916267366717,0.9168445503520212,0.0025420899441691,0.1464962368865889,0.0010584661884137,0.0004107730099399
attention_cnn,MILO_LW,7,1.1982972696989969,58.754509803921565,0.5843741304557494,0.9194246164854392,0.002498934518686,0.1227355617280169,0.0010401527860551,0.000246441631237
attention_cnn,MILO_LW,8,1.179833933430092,59.367843137254894,0.5904287902794032,0.9216907803345576,0.0026131560903984,0.1484207667243529,0.0015849582660338,0.0001706231957138
attention_cnn,MILO_LW,9,1.1613018127491272,60.09882352941177,0.5972089781100955,0.924059024858796,0.0013141789603314,0.1114087516722306,0.0019189869220191,0.0001832860867887
attention_cnn,MILO_LW,10,1.1531461870505135,60.18928104575164,0.5985766035069674,0.9253764880667924,0.0034222675467131,0.1983943406677411,0.0023928532513661,0.0002596199311357
attention_cnn,SGD,1,1.8328145895340864,36.44287581699346,0.3454294939015844,0.8169595773859986,0.0055528800399174,0.2007557169177902,0.0031894570383391,0.0011699685201332
attention_cnn,SGD,2,1.6775376642102509,41.38300653594772,0.3992760273394631,0.845971219119271,0.0034085317863459,0.1976875153116951,0.0023106014549533,0.0005695101547911
attention_cnn,SGD,3,1.575994020951963,45.283137254901966,0.4445853608179717,0.8639630732517573,0.003111800248805,0.303800974036237,0.0047150742719075,0.000552403653272
attention_cnn,SGD,4,1.4948916319417018,48.38535947712418,0.475122144011152,0.8771288795319242,0.0041780790324359,0.3879703327712029,0.0052963215898002,0.000865554381469
attention_cnn,SGD,5,1.4422921179578196,49.83843137254902,0.4941121843718398,0.886251104309055,0.005043599684729,0.3192716731854629,0.0037731236119779,0.0008484257341481
attention_cnn,SGD,6,1.3847146271549795,51.86196078431372,0.510583885596519,0.8943247415893023,0.002605906200683,0.2696455430167745,0.0027991490589521,0.0005133775938677
attention_cnn,SGD,7,1.3464112425573511,53.18588235294118,0.5264740186500975,0.8996324032077407,0.0048400473827359,0.2987591350970955,0.0041978363857088,0.0011290778718569
attention_cnn,SGD,8,1.3325143070507672,53.2162091503268,0.5272404425616859,0.9016900803726148,0.0071608569165741,0.4973572948054824,0.0057430427645704,0.001823993634846
attention_cnn,SGD,9,1.2878315203922248,54.87372549019608,0.5447106402733082,0.9080422820419252,0.0095400348930709,0.5143005313281461,0.0055333718710418,0.0011775664770069
attention_cnn,SGD,10,1.2537619866489584,56.37960784313725,0.5594538383132119,0.9130524690082336,0.0026596558348803,0.2049619847244717,0.0028616239383262,0.0003281725919335
attention_cnn,ADAMW,1,1.4866983305663066,49.35581699346405,0.4824295108712176,0.8946461461281568,0.1647172787963137,2.866825945045905,0.0314639957115962,0.0125513055759993
attention_cnn,ADAMW,2,1.1962684750450985,57.29882352941176,0.5618169018885479,0.9266737524758591,0.0188138129726235,0.8211636940740201,0.0101786328708521,0.0015864716900878
attention_cnn,ADAMW,3,1.1011171799036412,59.91163398692811,0.593446135195981,0.9391812122837812,0.0198913420411258,0.8832819703656178,0.0105461712374989,0.0005328532179949
attention_cnn,ADAMW,4,1.0465441811854543,63.01437908496733,0.6262512323065121,0.9468865203219442,0.0731067724791507,2.2010753918291948,0.0234580838844689,0.0043224851435659
attention_cnn,ADAMW,5,0.9734193034863938,64.92339869281045,0.6473429861644967,0.954572937935728,0.0484266191233246,1.8863726868765456,0.0192456478886489,0.0020523802594136
attention_cnn,ADAMW,6,0.9782535823647492,65.04627450980392,0.6470616139295436,0.9551795875628238,0.0608006319494811,1.8842173773086648,0.0200170089498769,0.0025873470445716
attention_cnn,ADAMW,7,0.878174891800974,68.62901960784313,0.6830810510876938,0.961554966558156,0.0320475858499041,0.9644251322884816,0.0106221545720943,0.0017799561224891
attention_cnn,ADAMW,8,0.8959451435656328,68.75816993464052,0.6802293994353968,0.9627098084264946,0.0622733936989666,1.853531162196648,0.0212346912417621,0.002681661595194
attention_cnn,ADAMW,9,0.7755136068655775,72.5683660130719,0.7249235575376998,0.9695710943425,0.0339641499848242,1.139768419114972,0.0102701980933343,0.0013686532102294
attention_cnn,ADAMW,10,0.7231619505152983,73.91424836601307,0.7362347800269547,0.973372237030114,0.0066867003938609,0.2171027364837461,0.0026099426031253,0.0008669372049487
attention_cnn,ADAM_MINI,1,1.3605398392820671,51.46928104575163,0.504312993739486,0.9007866988850598,0.0323816265697632,0.9681956823052262,0.0128604142276879,0.0029515463712619
attention_cnn,ADAM_MINI,2,1.1802294276817171,57.72862745098039,0.5731093031681421,0.923315487440444,0.0324622161821806,1.1439649988805431,0.0131047258444764,0.0031488573567984
attention_cnn,ADAM_MINI,3,1.1012517496439365,60.421960784313725,0.5960341271445836,0.9360956982940564,0.0252115164673651,0.999128878551412,0.0123282854126956,0.0013102138053042
attention_cnn,ADAM_MINI,4,1.0837379319022684,61.442614379084965,0.6085284167668062,0.9419955888252634,0.0605286871022027,1.711909798271535,0.0208079128350984,0.0035690405802271
attention_cnn,ADAM_MINI,5,0.9659934954580918,65.5121568627451,0.6551555153243929,0.9503150827250428,0.032292101138602,0.9256248194247872,0.0067540776281356,0.002416769973763
attention_cnn,ADAM_MINI,6,0.970559763705185,65.31189542483659,0.6482184350200161,0.9533633239567578,0.0319880368468799,1.071715081273918,0.0116682923862439,0.0011472528888062
attention_cnn,ADAM_MINI,7,0.9661073522580216,65.56601307189543,0.6525425336471585,0.9562055462885816,0.0243261183020284,0.7479349730488654,0.0087466135543636,0.0009609566997735
attention_cnn,ADAM_MINI,8,0.8861575108010784,68.38849673202614,0.6826133659271711,0.9612885982777868,0.0278259295830958,1.1153624473091834,0.0101936546666335,0.0012315584008555
attention_cnn,ADAM_MINI,9,0.8289405768444336,70.82143790849673,0.70474910970419,0.9661969474946528,0.0384347196455716,1.3604321431868571,0.0166321656395209,0.0007230558739539
attention_cnn,ADAM_MINI,10,0.8482947036001418,70.17254901960784,0.7014736216621656,0.9647339164205146,0.0258898519724812,0.821989638436492,0.0109075705335373,0.001243281266567
attention_cnn,NOVOGRAD,1,1.6981515436259749,39.6962091503268,0.3855172583607996,0.8367815635796256,0.0037247904997436,0.1313589561465231,0.0018098738220038,0.0008598978662338
attention_cnn,NOVOGRAD,2,1.5315804421830022,45.422745098039215,0.4477320959798199,0.8659014443338432,0.0052473489884751,0.2622137507673094,0.0043220986467424,0.0009698331224479
attention_cnn,NOVOGRAD,3,1.4400935041863934,48.47424836601307,0.4756645296905344,0.8819999489841205,0.0085581563384297,0.3772111452617767,0.0037106883745733,0.0013090215993733
attention_cnn,NOVOGRAD,4,1.38511183596717,50.34980392156863,0.4995410918989724,0.890763896515986,0.0057933527691001,0.1862208843805824,0.0022306154218635,0.0009976875111112
attention_cnn,NOVOGRAD,5,1.3191096641827251,52.935947712418304,0.52382061981698,0.9000232177144534,0.0127015913941106,0.3326277294117513,0.0041925107870554,0.0016266020063467
attention_cnn,NOVOGRAD,6,1.279231723654504,54.44183006535948,0.539888933648134,0.9063452053054288,0.0096759294584458,0.3802982612142635,0.0051166904161034,0.0013471166502146
attention_cnn,NOVOGRAD,7,1.2539446860132657,55.11790849673203,0.5464215397564104,0.9100216095434768,0.0118052231557156,0.3898201405514863,0.0037379024689278,0.0012416924976034
attention_cnn,NOVOGRAD,8,1.2207155319388394,56.21333333333335,0.5577843078316738,0.9151169650548412,0.0116893666607486,0.5242397895996119,0.0064282739847984,0.0014162872062871
attention_cnn,NOVOGRAD,9,1.2043577625499051,57.01228758169934,0.5663040077271561,0.9168801833260698,0.0217212601249067,0.7053890311981753,0.0062996105003437,0.0023351043362271
