experiment,optimizer,mean_time_per_epoch_sec,std,count,std_err
attention_cnn,ADAGRAD,6.988199999999999,0.01828113782016924,5,0.00817557337438815
attention_cnn,ADAMW,6.9799999999999995,0.018788294228055998,5,0.008402380615040029
attention_cnn,ADAM_MINI,7.443600000000001,0.03732023579775509,5,0.016690116836020296
attention_cnn,ADEMAMIX,7.4018,0.03329714702493319,5,0.014890936840911098
attention_cnn,MILO,7.8902,0.092572674153878,5,0.041399758453401804
attention_cnn,MILO_LW,8.4612,0.0342447076203023,5,0.0153146988217202
attention_cnn,NOVOGRAD,8.083,0.0312889756943247,5,0.01399285531976974
attention_cnn,SGD,6.9786,0.02633059057446299,5,0.011775398082442896
logistic,ADAGRAD,4.315,0.0478173608640208,5,0.021384573879317716
logistic,ADAMW,3.4566000000000003,0.399346716525878,5,0.17859328094864035
logistic,ADAM_MINI,3.617,0.07991558045838121,5,0.035739334073258834
logistic,ADEMAMIX,4.3922,0.08681416935040041,5,0.03882447681553482
logistic,MILO,3.266800000000001,0.009679876032264053,5,0.004328972164382674
logistic,MILO_LW,3.2714,0.022333830840230055,5,0.00998799279134713
logistic,NOVOGRAD,4.1352,0.23341529512866116,5,0.10438649337917237
logistic,SGD,3.1384,0.16101956402872264,5,0.07201013817512074
multilayer,ADAGRAD,4.332800000000001,0.07334302966199303,5,0.03279999999999997
multilayer,ADAMW,3.6390000000000002,0.08503822669835039,5,0.03803025111670979
multilayer,ADAM_MINI,3.8912,0.17387696799748922,5,0.07776014403278828
multilayer,ADEMAMIX,4.739,0.09565824585470925,5,0.04277966806790347
multilayer,MILO,3.5702,0.027598913022073866,5,0.012342609124492263
multilayer,MILO_LW,3.7304000000000004,0.2299289020545265,5,0.10282733099716246
multilayer,NOVOGRAD,4.7700000000000005,0.37051518187518323,5,0.16569942667372153
multilayer,SGD,3.0996,0.023028243528328437,5,0.010298543586352397
resnet34_cifar10,ADAGRAD,20.192,0.011768602295939694,5,0.00526307894677625
resnet34_cifar10,ADAMW,20.3736,0.012054044964243161,5,0.005390732788777346
resnet34_cifar10,ADAM_MINI,24.6272,0.01169187752244989,5,0.005228766584959956
resnet34_cifar10,ADEMAMIX,24.6024,0.006465291950099164,5,0.0028913664589607815
resnet34_cifar10,MILO,28.7746,0.6044090502300565,5,0.27029994450609823
resnet34_cifar10,MILO_LW,28.277800000000003,0.07531400932097629,5,0.03368144889995115
resnet34_cifar10,NOVOGRAD,27.743399999999998,0.025559733957925594,5,0.011430660523346275
resnet34_cifar10,SGD,20.0202,0.015089731607951554,5,0.006748333127521376
resnet34_cifar100,ADAGRAD,21.943800000000003,0.01572259520562714,5,0.0070313583324989135
resnet34_cifar100,ADAMW,22.1582,0.011649034294736647,5,0.005209606511051492
resnet34_cifar100,ADAM_MINI,26.02,0.01730606829987592,5,0.007739509028355354
resnet34_cifar100,ADEMAMIX,25.9472,0.03761914406256382,5,0.01682379267585006
resnet34_cifar100,MILO,33.241,0.19244609634908233,5,0.08606451068820443
resnet34_cifar100,MILO_LW,33.302,0.07281826693900494,5,0.03256531897586811
resnet34_cifar100,NOVOGRAD,30.3456,0.04596520423102438,5,0.02055626425204629
resnet34_cifar100,SGD,21.863,0.0915723757472744,5,0.04095241140641173
simple_vit,ADAGRAD,11.0696,0.12632220707381536,5,0.056493008416971184
simple_vit,ADAMW,9.8366,0.2082637750546162,5,0.09313839165456936
simple_vit,ADAM_MINI,10.389199999999999,0.293657453506633,5,0.1313276056280631
simple_vit,ADEMAMIX,13.316399999999998,0.11983864151432974,5,0.053593469751453925
simple_vit,MILO,13.5698,0.5161101626590966,5,0.23081148151684272
simple_vit,MILO_LW,13.426599999999999,0.5233214117538088,5,0.23403645015253474
simple_vit,NOVOGRAD,14.9586,1.2023709078316889,5,0.5377166168159581
simple_vit,SGD,9.867,0.0733587077312569,5,0.03280701144572596
vgg11_cifar10,ADAGRAD,8.9592,0.029609120216581804,5,0.013241601111648042
vgg11_cifar10,ADAMW,9.211400000000001,0.012641202474448098,5,0.005653317610040899
vgg11_cifar10,ADAM_MINI,9.9184,0.04884976970263046,5,0.02184628114805828
vgg11_cifar10,ADEMAMIX,10.4294,0.058402054758372145,5,0.026118192893077034
vgg11_cifar10,MILO,12.7918,0.0596841687552062,5,0.02669157170344201
vgg11_cifar10,MILO_LW,12.7592,0.09818961248523184,5,0.043911729640268085
vgg11_cifar10,NOVOGRAD,11.985800000000001,0.10953401298226945,5,0.04898509977533979
vgg11_cifar10,SGD,8.7914,0.010163660757817437,5,0.004545327270945363
vgg11_cifar100,ADAGRAD,9.2678,0.08697815817778634,5,0.038897814848651895
vgg11_cifar100,ADAMW,8.993,0.7802630966539422,5,0.3489442648905407
vgg11_cifar100,ADAM_MINI,8.6792,0.09860628783196293,5,0.04409807252023589
vgg11_cifar100,ADEMAMIX,10.579600000000001,0.07148985942075983,5,0.031971237073344545
vgg11_cifar100,MILO,11.814400000000001,0.832313522658379,5,0.37222192305128937
vgg11_cifar100,MILO_LW,12.5528,0.2446716166620055,5,0.10942047340420288
vgg11_cifar100,NOVOGRAD,10.844800000000001,0.6767316307074768,5,0.30264358575724043
vgg11_cifar100,SGD,9.2838,0.017005881335585005,5,0.007605261336732596
