experiment,optimizer,epoch,train_loss,train_loss_std_err,train_accuracy,train_accuracy_std_err,train_f1_score,train_f1_score_std_err,train_auc,train_auc_std_err
attention_cnn,ADAGRAD,10,1.8238244060291968,0.0035101398943667,39.34483660130719,0.250116432368404,0.3775549684678845,0.0049556101816288,0.826749131069408,0.0008916034952896
attention_cnn,ADAMW,10,0.7231619505152983,0.0066867003938609,73.91424836601307,0.2171027364837461,0.7362347800269547,0.0026099426031253,0.973372237030114,0.0008669372049487
attention_cnn,ADAM_MINI,10,0.8482947036001418,0.0258898519724812,70.17254901960784,0.821989638436492,0.7014736216621656,0.0109075705335373,0.9647339164205146,0.001243281266567
attention_cnn,ADEMAMIX,10,0.5590497738330192,0.021633998263929,80.1913725490196,0.8282010457037253,0.801595107804777,0.0085682199765185,0.9813187310360773,0.0006851503334865
attention_cnn,MILO,10,1.1468474890228968,0.0082928411772904,60.38797385620914,0.3829307739206233,0.60017592286187,0.0042956277833258,0.9258583963859006,0.0006876503727973
attention_cnn,MILO_LW,10,1.1531461870505135,0.0034222675467131,60.18928104575164,0.1983943406677411,0.5985766035069674,0.0023928532513661,0.9253764880667924,0.0002596199311357
attention_cnn,NOVOGRAD,10,1.159572694401959,0.0087006928983196,58.55843137254902,0.2354503475524871,0.5843903204602462,0.0020515584135576,0.9224495660063364,0.0012076445500669
attention_cnn,SGD,10,1.2537619866489584,0.0026596558348803,56.37960784313725,0.2049619847244717,0.5594538383132119,0.0028616239383262,0.9130524690082336,0.0003281725919335
logistic,ADAGRAD,10,0.3821717959406069,0.000891049102295,89.89106753812636,0.0399174679335997,0.8972469219490273,0.0004354235385349,0.9907115652154876,2.314914365475837e-05
logistic,ADAMW,10,0.4449040742624299,0.0233926302525912,90.70675381263617,0.3708292684430803,0.9060291637204536,0.003848085288521,0.9937891598347794,0.0002429821334437
logistic,ADAM_MINI,10,0.5590340371237081,0.033534966608516,89.47015250544663,0.517869735634259,0.8933474584734791,0.0055432369020837,0.99261375157685,0.0002708107450423
logistic,ADEMAMIX,10,0.4170562251362145,0.0091285278628107,90.8488017429194,0.2290967511993435,0.9072003845174704,0.0024096052928597,0.993716543111,0.0001557200586665
logistic,MILO,10,0.2453321582065948,0.0004703882678454,93.31023965141613,0.021890817755261,0.932180772786126,0.0002280889086349,0.994964540995683,1.0146954335603877e-05
logistic,MILO_LW,10,0.2456669566187204,0.0004050144962306,93.2740740740741,0.0201733978730645,0.9318515178011972,0.0002068491045828,0.9949843968767615,8.82149045767e-06
logistic,NOVOGRAD,10,0.2910207618898296,0.0083084644218357,91.61002178649238,0.302067968665763,0.9149881072775984,0.0029689175291315,0.9937198884006784,0.0001648525570857
logistic,SGD,10,0.2760049322030643,0.0005820138878228,92.38692810457516,0.0302714668167666,0.922756925029297,0.000312571382081,0.9941276741641912,2.04263485886834e-05
multilayer,ADAGRAD,10,0.2014185772227825,0.0045247214674792,94.5529411764706,0.1564603893248841,0.9449582780833956,0.0015911079038317,0.9971369755035684,0.0001492476801265
multilayer,ADAMW,10,0.2121621119178717,0.0102510766332768,94.69150326797389,0.2306803772053111,0.9471135449882372,0.0022054279974183,0.9968551417937924,0.0003023680571582
multilayer,ADAM_MINI,10,2.2061939297428834,0.0701041845382927,13.63050108932462,2.4166682354703752,0.0625251267535356,0.0280329885417379,0.5352568614526684,0.0239518366100946
multilayer,ADEMAMIX,10,0.238101579047496,0.0187827147679243,94.20305010893246,0.4232232367403889,0.9420126800953617,0.0043155958387441,0.9961071496068888,0.0007323470003353
multilayer,MILO,10,0.0234158932065635,0.0010293401007418,99.5538126361656,0.0357351608781048,0.9955278658855254,0.0003652568593433,0.9999674095124989,3.981803113101825e-06
multilayer,MILO_LW,10,0.0244138709272791,0.0013695181650746,99.50239651416123,0.042198360506988,0.9950186281762456,0.0004231198685269,0.9999604652647228,7.447605809295908e-06
multilayer,NOVOGRAD,10,0.054394664122372,0.0009557267555187,98.26797385620915,0.0522012722662564,0.9825482270943208,0.0005217565746408,0.9998273980954654,4.920411465775506e-06
multilayer,SGD,10,0.0682891082820809,0.0008269194950351,98.4065359477124,0.0509664245431975,0.9839952351334768,0.0005211854346665,0.999779741473196,5.500858066700732e-06
resnet34_cifar10,ADAGRAD,10,0.6235144794058955,0.0201707585485521,78.99503267973856,0.7931341067610292,0.7897174278025744,0.0079587913410157,0.9759754105764548,0.0017219430815695
resnet34_cifar10,ADAMW,10,0.1130371821265984,0.0136654734228959,96.10980392156864,0.5291602727113016,0.9612409587283192,0.005235712763832,0.9993095124434116,0.000115706204169
resnet34_cifar10,ADAM_MINI,10,0.1719218906490631,0.0133535721806972,93.87607843137256,0.4426180080073923,0.9389696617944396,0.0041229400989598,0.998669643780742,0.000219255181971
resnet34_cifar10,ADEMAMIX,10,0.0976987673548311,0.0137237521163272,96.6729411764706,0.5258572515734887,0.9668415492562724,0.0051888640848417,0.9993398979624176,0.0001736292391077
resnet34_cifar10,MILO,10,0.0055654904825338,0.0009644028254496,99.8807843137255,0.029295048005921,0.9988100832926352,0.0002919087134751,0.9999984617649396,9.75290087726832e-07
resnet34_cifar10,MILO_LW,10,0.0106080892250806,0.0017067078873284,99.70196078431374,0.0625705633533136,0.9970227798869716,0.0006247094939951,0.9999944464167658,3.8156316866820245e-06
resnet34_cifar10,NOVOGRAD,10,0.1317430090442981,0.0102826627379498,95.41647058823528,0.3622706901904696,0.9538500028536788,0.0037380677037648,0.999406731204376,7.217854521675652e-05
resnet34_cifar10,SGD,10,0.1183166759325788,0.0216255466058134,95.92209150326798,0.8469310804992057,0.9592541556662806,0.0085122623672941,0.999511876833677,0.0001021769926083
resnet34_cifar100,ADAGRAD,10,3.329517078910777,0.0288533880165042,20.997124183006537,0.5831721679195854,0.1791992049700066,0.0062931531653823,0.8770230081953917,0.003317829739736
resnet34_cifar100,ADAMW,10,0.3918969075801325,0.0203802609486669,87.99424836601307,0.6575589066121098,0.8799048785330743,0.006516279321407,0.9991587132218406,0.0001080276350559
resnet34_cifar100,ADAM_MINI,10,0.4831313136789534,0.0333320597876749,85.47660130718955,0.8108088633323525,0.8546071240305155,0.0085976138155528,0.9982039130576826,0.0005258429229309
resnet34_cifar100,ADEMAMIX,10,0.2289940771433262,0.0164378177541525,94.16470588235292,0.3818819511280634,0.9418215951239072,0.0038079866020527,0.99914262574901,0.0002479373061942
resnet34_cifar100,MILO,10,0.0728508193682611,0.0142453007317708,99.37411764705882,0.2247843076441229,0.993720393794662,0.0022571377865235,0.9999897140049728,4.281259609580999e-06
resnet34_cifar100,MILO_LW,10,0.0613662624886222,0.0060294719658815,99.5769934640523,0.0481528601091463,0.9957749430131472,0.0004680809452292,0.9999912968272172,3.022305428964185e-06
resnet34_cifar100,NOVOGRAD,10,1.1185199421028686,0.0264769126958631,70.24575163398694,1.0460940615837189,0.6996772670938878,0.0104269989810513,0.9927310434996428,0.0002976361516193
resnet34_cifar100,SGD,10,1.1062247503885256,0.0387612998293816,68.86849673202614,1.2964103016453976,0.6898037461991489,0.0124237472506171,0.9937029833803074,0.000626700988852
simple_vit,ADAGRAD,10,1.785442840076272,0.0084386979560975,34.63581699346405,0.2035011587259454,0.3387010651128957,0.0024571804722307,0.8025473349631561,0.002139964739439
simple_vit,ADAMW,10,0.6084228572546266,0.0035260173360701,78.56575163398693,0.1081278870945602,0.7852158310881078,0.0016411018261052,0.9779295534444584,0.0002856326352583
simple_vit,ADAM_MINI,10,1.8140384824840072,0.0065559373202904,33.323921568627455,0.1956188077077502,0.3230819705103565,0.0036309227995761,0.7967556680920487,0.0017993116960452
simple_vit,ADEMAMIX,10,0.6513417587504667,0.0097300568686213,76.88313725490195,0.4506171882141006,0.7681454287329608,0.0045377247772931,0.9749789248831016,0.0007370396589701
simple_vit,MILO,10,1.337523641959047,0.0061083263979254,51.59006535947712,0.1860868679947268,0.5137969487364821,0.0021998941616157,0.8976773815648993,0.0010654994612963
simple_vit,MILO_LW,10,1.3312289049023895,0.0102061092292568,52.21281045751634,0.4291697371078005,0.521138634618317,0.0050738114764474,0.8981704326610759,0.0012554869099098
simple_vit,NOVOGRAD,10,1.2660796394248417,0.009524884652006,54.1437908496732,0.3767772897384149,0.5378432120693574,0.0043139044186595,0.908317932433044,0.0006864229117279
simple_vit,SGD,10,1.3909524623334797,0.0054636760563817,49.64967320261437,0.2069904818885741,0.4953172287376325,0.0022595457842116,0.8880668271410548,0.0007003732346854
vgg11_cifar10,ADAGRAD,10,1.1752368016049752,0.0157071562744803,56.78588235294118,0.5665267182879088,0.5627259096822728,0.0060155191445814,0.9166174803458152,0.0023485864897967
vgg11_cifar10,ADAMW,10,0.3960304013803893,0.0217633973360181,86.66248366013072,0.8362791863521026,0.8654467850175467,0.009020595080823,0.990458410609196,0.000922314297053
vgg11_cifar10,ADAM_MINI,10,0.6559230093675501,0.0239968309019443,77.83111111111111,1.0809806589060094,0.7741725977742975,0.0127944152977801,0.9727195404382016,0.0019550554679359
