optimizer,epoch,loss,accuracy,f1_score,loss_std_err,accuracy_std_err,f1_score_std_err
milo_weight_decay_0.0001,1,0.03844272217928257,99.32722222222223,0.993218493659727,0.0012901047094925366,0.03529417816503874,0.0003635770366875913
milo_weight_decay_0.0001,2,0.002942223146539991,99.91000000000001,0.9990948776847599,0.00011917491387589043,0.007876359377088537,7.925656895406365e-05
milo_weight_decay_0.0001,3,0.0002681528150395944,99.99166666666667,0.999917331384526,7.1856568082922e-05,0.0033333333333350388,3.2872171010671525e-05
milo_weight_decay_0.0001,4,2.562820704866245e-05,100.0,1.0,1.0319036980182943e-05,0.0,0.0
milo_weight_decay_0.0001,5,6.340148464296805e-06,100.0,1.0,3.88251325165059e-06,0.0,0.0
milo_weight_decay_0.0001,6,8.028555252233992e-07,100.0,1.0,1.279918096583682e-07,0.0,0.0
milo_weight_decay_0.0001,7,5.598281431917861e-07,100.0,1.0,1.2108918410885314e-07,0.0,0.0
milo_weight_decay_0.0001,8,4.69574506331701e-07,100.0,1.0,1.0381303093309729e-07,0.0,0.0
milo_weight_decay_0.0001,9,4.1801499273594635e-07,100.0,1.0,9.2820551085675e-08,0.0,0.0
milo_weight_decay_0.0001,10,3.8409201390036976e-07,100.0,1.0,8.689193488507356e-08,0.0,0.0
milo_weight_decay_0.0001,11,3.60548853280207e-07,100.0,1.0,7.996687026215025e-08,0.0,0.0
milo_weight_decay_0.0001,12,3.3773408204373663e-07,100.0,1.0,7.405833045091782e-08,0.0,0.0
milo_weight_decay_0.0001,13,3.2154007059621076e-07,100.0,1.0,7.039268226286684e-08,0.0,0.0
milo_weight_decay_0.0001,14,3.055818710088371e-07,100.0,1.0,6.569589156130036e-08,0.0,0.0
milo_weight_decay_0.0001,15,2.909118529570283e-07,100.0,1.0,6.210679850981333e-08,0.0,0.0
milo_weight_decay_0.001,1,0.03812922890358384,99.37888888888888,0.9937360578946386,0.002408539097480801,0.00894082052190715,8.740745075664104e-05
milo_weight_decay_0.001,2,0.001949426314419125,99.93611111111112,0.9993569878026746,0.000415518528140208,0.010289032876362405,0.00010203674004437124
milo_weight_decay_0.001,3,0.00021626290249232867,99.99222222222222,0.9999218687970486,5.114341349150692e-05,0.002003084041927215,1.8624134327970984e-05
milo_weight_decay_0.001,4,1.23701152351397e-05,100.0,1.0,3.91220572814571e-06,0.0,0.0
milo_weight_decay_0.001,5,2.25511094469696e-06,100.0,1.0,8.721378863729997e-07,0.0,0.0
milo_weight_decay_0.001,6,5.015560993585429e-07,100.0,1.0,8.269836272462963e-08,0.0,0.0
milo_weight_decay_0.001,7,2.915965605390783e-07,100.0,1.0,2.4786510088457035e-08,0.0,0.0
milo_weight_decay_0.001,8,2.5666673077435263e-07,100.0,1.0,1.5689526538161865e-08,0.0,0.0
milo_weight_decay_0.001,9,2.406314861655545e-07,100.0,1.0,1.4062974657860142e-08,0.0,0.0
milo_weight_decay_0.001,10,2.2878677538378e-07,100.0,1.0,1.380457294781664e-08,0.0,0.0
milo_weight_decay_0.001,11,2.1857960641275848e-07,100.0,1.0,1.256197475840036e-08,0.0,0.0
milo_weight_decay_0.001,12,2.1153135392341462e-07,100.0,1.0,1.1766175819891172e-08,0.0,0.0
milo_weight_decay_0.001,13,2.0513736379849472e-07,100.0,1.0,1.0893709360499204e-08,0.0,0.0
milo_weight_decay_0.001,14,2.012148592588482e-07,100.0,1.0,1.1191973697186623e-08,0.0,0.0
milo_weight_decay_0.001,15,1.972871183089432e-07,100.0,1.0,1.0845491515571566e-08,0.0,0.0
milo_weight_decay_0.0,1,0.03414453273854205,99.43888888888888,0.9943530341215832,0.0025538414892839613,0.03286241426926689,0.00033391163032812216
milo_weight_decay_0.0,2,0.0023570380119301436,99.92888888888888,0.9992839878048545,0.00025611728117697834,0.0078370755442611,7.687175591025464e-05
milo_weight_decay_0.0,3,0.00020708215494449856,99.99111111111112,0.9999092577224368,9.422852118240551e-05,0.0049378857873975885,5.008832235655637e-05
milo_weight_decay_0.0,4,8.734448116346193e-06,99.99944444444445,0.9999943455131034,4.333609828032727e-06,0.0005555555555550503,5.654486896600198e-06
milo_weight_decay_0.0,5,5.874692278990858e-07,100.0,1.0,2.820627191289072e-08,0.0,0.0
milo_weight_decay_0.0,6,2.4596022390963093e-07,100.0,1.0,5.898911889633052e-08,0.0,0.0
milo_weight_decay_0.0,7,1.6103590870062907e-07,100.0,1.0,3.556707807670366e-08,0.0,0.0
milo_weight_decay_0.0,8,1.434267439551699e-07,100.0,1.0,3.186257368738598e-08,0.0,0.0
milo_weight_decay_0.0,9,1.3073473795874374e-07,100.0,1.0,2.8615927652708097e-08,0.0,0.0
milo_weight_decay_0.0,10,1.217870060068312e-07,100.0,1.0,2.682899675801327e-08,0.0,0.0
milo_weight_decay_0.0,11,1.1425513657220185e-07,100.0,1.0,2.4943034783202925e-08,0.0,0.0
milo_weight_decay_0.0,12,1.0826366312031155e-07,100.0,1.0,2.3776549458726227e-08,0.0,0.0
milo_weight_decay_0.0,13,1.0291722839532724e-07,100.0,1.0,2.271865676682557e-08,0.0,0.0
milo_weight_decay_0.0,14,9.841715859215425e-08,100.0,1.0,2.169068512958115e-08,0.0,0.0
milo_weight_decay_0.0,15,9.428132841572771e-08,100.0,1.0,2.0737493883702784e-08,0.0,0.0
