optimizer,epoch,train_loss,train_accuracy,train_f1_score,train_auc,train_loss_std_err,train_accuracy_std_err,train_f1_score_std_err,train_auc_std_err
MILO_LW_normalize_True,1,0.11555613152901253,96.27416666666667,0.9643438764783177,0.9988485944975202,0.0006221750168013336,0.12916666666666995,0.0010398026182705244,7.928612376428834e-05
MILO_LW_normalize_True,2,0.10797807640288762,96.435,0.9658170240347691,0.9989430506241714,0.0017746192202418227,0.0799999999999983,0.0006691756098434753,4.265677610160168e-05
MILO_LW_normalize_True,3,0.10350304173633558,96.4975,0.9664254591336169,0.998982335098533,0.0011615392663091723,0.05083333333332973,0.000403151583875605,2.753858544091159e-05
MILO_LW_normalize_True,4,0.10154185624023279,96.53999999999999,0.9667969677203495,0.999012328676429,0.0008743031054735187,0.033333333333338544,0.0002615637506889756,1.9099746344342083e-05
MILO_LW_normalize_True,5,0.10040287948946158,96.56416666666667,0.9670457868146975,0.99902879270523,0.0010105923165877675,0.030833333333333712,0.00023252408396751131,1.6241450016329928e-05
MILO_LW_normalize_True,6,0.09924483480077857,96.5975,0.9673389210613907,0.999040892656308,0.001151659425875792,0.030833333333333712,0.0002790603945723724,2.2399867369404802e-05
MILO_LW_normalize_True,7,0.09849715172838186,96.60583333333334,0.967423501939396,0.9990550101517198,0.001187875378221119,0.034166666666664014,0.00028294993798405604,2.3196807135694716e-05
MILO_LW_normalize_True,8,0.09785008562515723,96.62333333333333,0.9675942568776179,0.9990661122274489,0.0012992522986993783,0.03499999999999659,0.00030484977204608965,2.6943414424440704e-05
MILO_LW_normalize_True,9,0.0974595978725003,96.6325,0.9676738028393472,0.9990725458664356,0.0012895112615932403,0.042499999999996874,0.0003504598074166032,3.067857892408154e-05
MILO_LW_normalize_True,10,0.09691519551956831,96.64583333333334,0.9677929537128998,0.999086750978488,0.0014334787380280085,0.044166666666662024,0.00038853758494866714,2.6952027213145158e-05
MILO_LW_normalize_False,1,0.11005766461863337,96.36833333333334,0.9650726886113401,0.9989201931975291,0.006207875661311361,0.11166666666667167,0.0012054926899135454,6.17227986700608e-05
MILO_LW_normalize_False,2,0.10688014805416265,96.45166666666667,0.9657978663950413,0.998952401197787,0.004696140049894652,0.07833333333333314,0.0009136935706735015,3.981013939802213e-05
MILO_LW_normalize_False,3,0.10516898116643231,96.49000000000001,0.9661268825215175,0.9989753927398941,0.0038364087916910664,0.07000000000000027,0.0008156280315159692,4.0794493065487984e-05
MILO_LW_normalize_False,4,0.10429467867215475,96.5175,0.9663593064898934,0.9989896681174218,0.0042088234186172455,0.0625,0.0007118664570028854,4.326937066145842e-05
MILO_LW_normalize_False,5,0.10402668962764243,96.53833333333333,0.9665431331216808,0.9989963495040649,0.0036990841576208656,0.051666666666669414,0.0006326905305389374,3.128103296345941e-05
MILO_LW_normalize_False,6,0.10406393515964349,96.53833333333333,0.9665151514225147,0.9990083012346627,0.0035079993277788157,0.03999999999999915,0.0005163665702355713,2.780614052039221e-05
MILO_LW_normalize_False,7,0.10385476064359853,96.54083333333332,0.9665049236638397,0.9990033183471141,0.0030805604509938976,0.05250000000000199,0.0006455139616495241,3.1294828313377376e-05
MILO_LW_normalize_False,8,0.103689871009439,96.55916666666667,0.9666637366022519,0.9990059027625818,0.0030239438054464533,0.029166666666668558,0.00039116006018097277,2.3818704111833174e-05
MILO_LW_normalize_False,9,0.10375823656523911,96.55833333333334,0.9666367430716427,0.9990091330048043,0.003100199966582784,0.03500000000000369,0.0004676869237254521,2.543755109823964e-05
MILO_LW_normalize_False,10,0.10356307197232575,96.5575,0.9666431739488828,0.999009163695288,0.0027575356068167273,0.030833333333333712,0.0004357333449832024,2.4485242542393593e-05
