optimizer,epoch,val_loss,val_accuracy,val_f1_score,val_auc,val_loss_std_err,val_accuracy_std_err,val_f1_score_std_err,val_auc_std_err
MILO_weight_decay_0.0001,1,0.14583900479078293,94.83000000000001,0.9483982122579282,0.9984094616666668,0.010377364485263827,0.3560000000000016,0.0037239774264755665,0.0001973358888889276
MILO_weight_decay_0.0001,2,0.12980487834692,95.392,0.9538374922004249,0.9987338327777778,0.006248331754207609,0.22200000000000128,0.0022080827498069944,0.00019527055555557116
MILO_weight_decay_0.0001,3,0.11571344250321389,95.977,0.9597224943750329,0.9988861664444446,0.007378287044763565,0.30299999999999727,0.003054564484339883,0.00014752200000006654
MILO_weight_decay_0.0001,4,0.11661666473865509,95.882,0.9588089908396016,0.9989143374444445,0.00534425494194031,0.18799999999999528,0.0019289004186073264,0.0001155043333332939
MILO_weight_decay_0.0001,5,0.1107189451622963,96.088,0.9609196326460784,0.9989650554444445,0.008309812338352198,0.38400000000000034,0.0038529859676844636,0.00014458900000002828
MILO_weight_decay_0.0001,6,0.1086751876425743,96.184,0.9618326759578109,0.9990430721111111,0.008274947159290313,0.22400000000000375,0.0022074295499914243,0.0001345850000000759
MILO_weight_decay_0.0001,7,0.10160613020837307,96.382,0.9637804499504711,0.9991185561111111,0.008509491568207739,0.3000000000000042,0.0029691455079771108,0.00013475388888883888
MILO_weight_decay_0.0001,8,0.1002784866118431,96.503,0.9650048722578491,0.999119561888889,0.00982257976770401,0.2810000000000059,0.002800133278599959,0.0001667007777778062
MILO_weight_decay_0.0001,9,0.09830427852272987,96.574,0.965695696990201,0.9991544324444444,0.008519947394132614,0.32200000000000273,0.0032257816445796506,0.0001362504444443746
MILO_weight_decay_0.0001,10,0.09546535829544067,96.626,0.9662760367213648,0.9992059051111112,0.008801866421699526,0.25200000000000244,0.002519141748660525,0.00014551844444443685
MILO_weight_decay_0.001,1,0.10911499305605889,96.271,0.9628378113402591,0.999048136888889,0.009249593600034717,0.27299999999999613,0.0026498849166576854,0.00014253088888888096
MILO_weight_decay_0.001,2,0.09404511690974235,96.681,0.9667676870895876,0.9992658836666668,0.009453993722200396,0.277000000000001,0.0028235640467988983,0.00013002922222221655
MILO_weight_decay_0.001,3,0.08727559432387352,96.907,0.9691547815008752,0.9993690856666667,0.005020628718137743,0.18699999999999758,0.0019042800291832471,9.321788888883019e-05
MILO_weight_decay_0.001,4,0.07782915508031846,97.229,0.9722608349749897,0.999485761,0.006335441133975986,0.20900000000000318,0.0020550321788013744,8.468344444445552e-05
MILO_weight_decay_0.001,5,0.07837251597821712,97.285,0.9729093206341544,0.999481399,0.0033779292660951615,0.11899999999999977,0.0011568315427433196,8.086144444441334e-05
MILO_weight_decay_0.001,6,0.07861916424393654,97.226,0.972273361788724,0.9995025975555556,0.006076547373533248,0.1940000000000026,0.0019701669389373677,8.799799999997804e-05
MILO_weight_decay_0.001,7,0.07452215030312538,97.38300000000001,0.9738127520326594,0.9995172907777778,0.006309414867162702,0.1829999999999998,0.0017998470432799005,8.127633333343542e-05
MILO_weight_decay_0.001,8,0.07050753934502602,97.489,0.9748545047727648,0.9995602707777778,0.007318721427917479,0.2610000000000028,0.0026408974854869594,8.718766666659938e-05
MILO_weight_decay_0.001,9,0.06991575278431178,97.535,0.975298673010218,0.9995739025555556,0.005845853559076789,0.22699999999999676,0.002273099287663338,9.26872222222208e-05
MILO_weight_decay_0.001,10,0.06582041873633862,97.65299999999999,0.9765694353380798,0.9996054328888888,0.006044065710902217,0.13300000000000267,0.0013559348799659365,6.441200000001368e-05
MILO_weight_decay_0.0,1,0.08773642653137445,96.87899999999999,0.9688385908921526,0.9994054145555555,0.004446557370126246,0.20100000000000048,0.0018981950896799769,4.247766666676256e-05
MILO_weight_decay_0.0,2,0.0762204620283842,97.235,0.9723699909755106,0.9995444076666669,0.009422077580094342,0.3329999999999984,0.0033541993141661397,7.974433333340913e-05
MILO_weight_decay_0.0,3,0.06660634238064289,97.609,0.9760750961414368,0.9996342389999999,0.005520860307812691,0.24099999999999963,0.0023881163626645052,5.806766666660578e-05
MILO_weight_decay_0.0,4,0.06246932809472084,97.767,0.977706060287796,0.9996812542222222,0.0033367146193981137,0.06700000000000016,0.0006258407768435781,5.432311111119858e-05
MILO_weight_decay_0.0,5,0.05289106142103672,98.119,0.9811756835024088,0.9997459655555556,0.003503759278655052,0.12099999999999511,0.0011983191842566687,3.055933333334648e-05
MILO_weight_decay_0.0,6,0.053715066170990464,98.06200000000001,0.980599283917906,0.999747645888889,0.006038504566848279,0.2779999999999987,0.0028183632473951503,4.928655555547223e-05
MILO_weight_decay_0.0,7,0.048716670266389844,98.27199999999999,0.982733592239865,0.999778705888889,0.0036246076691150673,0.142000000000003,0.0014207375712843027,2.2527000000049924e-05
MILO_weight_decay_0.0,8,0.04942013657063246,98.231,0.9822750322654056,0.9997801081111113,0.002123374038040641,0.08299999999999841,0.0008369770951498489,1.5260555555507427e-05
MILO_weight_decay_0.0,9,0.04867212626159191,98.305,0.983029637780015,0.9997790444444444,0.004767603397965433,0.1769999999999996,0.0017637084933760927,4.843111111119125e-05
MILO_weight_decay_0.0,10,0.04484425977855921,98.40100000000001,0.9840270602339463,0.999815928,0.005182928836047651,0.14699999999999844,0.0014395068437164649,3.646044444438612e-05
