optimizer,epoch,loss,accuracy,f1_score,loss_std_err,accuracy_std_err,f1_score_std_err
milo_eps_1e-05,1,0.02830442736875466,99.54555555555555,0.9954229543013033,0.0005766322957930971,0.01010744744369915,9.205729416467087e-05
milo_eps_1e-05,2,0.0014693615605619308,99.95444444444445,0.9995447388854718,0.0001153554396210476,0.0024216105241870608,2.6028029179538484e-05
milo_eps_1e-05,3,6.396033071460489e-05,99.99777777777778,0.9999773701638368,9.918379484665106e-06,0.0005555555555550503,5.8571271628977e-06
milo_eps_1e-05,4,1.9452843571917256e-06,100.0,1.0,6.090437314962928e-07,0.0,0.0
milo_eps_1e-05,5,2.1609816475012012e-07,100.0,1.0,1.515846106042124e-08,0.0,0.0
milo_eps_1e-05,6,1.0543638035021748e-07,100.0,1.0,5.9996320141079435e-09,0.0,0.0
milo_eps_1e-05,7,8.531044758678756e-08,100.0,1.0,5.093377001125385e-09,0.0,0.0
milo_eps_1e-05,8,7.52409310119933e-08,100.0,1.0,4.153062297531615e-09,0.0,0.0
milo_eps_1e-05,9,6.869846558785752e-08,100.0,1.0,3.883672752179298e-09,0.0,0.0
milo_eps_1e-05,10,6.41076775161922e-08,100.0,1.0,3.737063473326431e-09,0.0,0.0
milo_eps_1e-05,11,6.033144676496565e-08,100.0,1.0,3.509990878796972e-09,0.0,0.0
milo_eps_1e-05,12,5.7248613435945125e-08,100.0,1.0,3.3219093857582523e-09,0.0,0.0
milo_eps_1e-05,13,5.444656684439054e-08,100.0,1.0,3.2981445339928257e-09,0.0,0.0
milo_eps_1e-05,14,5.2214076871119154e-08,100.0,1.0,3.184553915396253e-09,0.0,0.0
milo_eps_1e-05,15,5.006966348730657e-08,100.0,1.0,3.2149147455016895e-09,0.0,0.0
milo_eps_0.005,1,0.043994727913429725,99.33999999999999,0.9933449020463122,0.003165766767904438,0.041844066794776695,0.00041415847633434846
milo_eps_0.005,2,0.0035700665891745726,99.89722222222223,0.9989627610180575,0.0009423583381462619,0.01447646024532449,0.00014655523626466894
milo_eps_0.005,3,0.000404998161858543,99.9861111111111,0.9998610076114223,4.020900859564181e-06,0.0014698618394789914,1.392833791953166e-05
milo_eps_0.005,4,3.532987044645716e-05,100.0,1.0,8.500681607908993e-06,0.0,0.0
milo_eps_0.005,5,1.0314061106552804e-05,100.0,1.0,2.3997348846725937e-06,0.0,0.0
milo_eps_0.005,6,8.075436938668506e-06,100.0,1.0,1.6647501173191458e-06,0.0,0.0
milo_eps_0.005,7,7.119443252319494e-06,100.0,1.0,1.431985724782293e-06,0.0,0.0
milo_eps_0.005,8,6.489969071438158e-06,100.0,1.0,1.2854182245444948e-06,0.0,0.0
milo_eps_0.005,9,6.0076930932239415e-06,100.0,1.0,1.177626400384787e-06,0.0,0.0
milo_eps_0.005,10,5.625013662839764e-06,100.0,1.0,1.0870339077933419e-06,0.0,0.0
milo_eps_0.005,11,5.318930018162307e-06,100.0,1.0,1.021987531279395e-06,0.0,0.0
milo_eps_0.005,12,5.063673318693694e-06,100.0,1.0,9.638221312295886e-07,0.0,0.0
milo_eps_0.005,13,4.843360406403245e-06,100.0,1.0,9.154059207753464e-07,0.0,0.0
milo_eps_0.005,14,4.653552146916182e-06,100.0,1.0,8.770906856620964e-07,0.0,0.0
milo_eps_0.005,15,4.489104032784318e-06,100.0,1.0,8.422221925152817e-07,0.0,0.0
milo_eps_0.05,1,0.04595706515653262,99.16666666666667,0.9916187762272317,0.001126795400051861,0.047521924764612734,0.0004791562573609514
milo_eps_0.05,2,0.004727052681298922,99.85555555555555,0.998543815884823,0.000425520984787821,0.008296213623927254,8.2345118258741e-05
milo_eps_0.05,3,0.0010370089245878911,99.96222222222222,0.9996230960441395,6.565768403959436e-05,0.001469861839482572,1.3341095599712088e-05
milo_eps_0.05,4,0.0002170906184267629,99.99555555555555,0.9999555172730531,4.7774274135585977e-05,0.0014698618394789914,1.54015172126336e-05
milo_eps_0.05,5,5.877635062289919e-05,100.0,1.0,1.4001123149958112e-05,0.0,0.0
milo_eps_0.05,6,4.256199377069135e-05,100.0,1.0,1.079512800514946e-05,0.0,0.0
milo_eps_0.05,7,3.770183209985013e-05,100.0,1.0,9.233987241225584e-06,0.0,0.0
milo_eps_0.05,8,3.492031220909079e-05,100.0,1.0,8.494795041278817e-06,0.0,0.0
milo_eps_0.05,9,3.303104672695297e-05,100.0,1.0,8.02999857080618e-06,0.0,0.0
milo_eps_0.05,10,3.166405107282028e-05,100.0,1.0,7.667619744148613e-06,0.0,0.0
milo_eps_0.05,11,3.055416428145763e-05,100.0,1.0,7.369010089212044e-06,0.0,0.0
milo_eps_0.05,12,2.9736070835767154e-05,100.0,1.0,7.135144509645373e-06,0.0,0.0
milo_eps_0.05,13,2.908993356469141e-05,100.0,1.0,6.972030846064798e-06,0.0,0.0
milo_eps_0.05,14,2.8550888658703345e-05,100.0,1.0,6.76577103789455e-06,0.0,0.0
milo_eps_0.05,15,2.8108848857613428e-05,100.0,1.0,6.660573161035245e-06,0.0,0.0
