epoch,layer,epoch_mean_update,epoch_std_update,optimizer,run
1,linear,0.41799692358399615,0.3769492922196975,MILO,1
2,linear,0.18473096790828977,0.02019884408446866,MILO,1
3,linear,0.1423876313007656,0.01158971367201548,MILO,1
4,linear,0.12035230442257773,0.008446773081294908,MILO,1
5,linear,0.10580942919023274,0.007278255081497321,MILO,1
1,linear,0.41748542671876043,0.3773872383462861,MILO_LW,1
2,linear,0.18408770149946038,0.02119885071530893,MILO_LW,1
3,linear,0.14196438356431473,0.011651745158762772,MILO_LW,1
4,linear,0.11990513417886899,0.008361029348395006,MILO_LW,1
5,linear,0.10581942519618914,0.00710980773819441,MILO_LW,1
1,linear,0.05547117621321239,0.038095882437480286,SGD,1
2,linear,0.03871491595907268,0.004944495060941309,SGD,1
3,linear,0.03792474411158246,0.005574976132618885,SGD,1
4,linear,0.036543255909543854,0.004770165835956524,SGD,1
5,linear,0.036666329283788456,0.005313618481650888,SGD,1
1,linear,0.7212863114840204,0.24333824047678154,ADAMW,1
2,linear,0.7389964021807485,0.07386222121230117,ADAMW,1
3,linear,0.7435267769070878,0.08149872773304817,ADAMW,1
4,linear,0.7557719407749861,0.06949538541400085,ADAMW,1
5,linear,0.7583700358711192,0.07524452269709657,ADAMW,1
