optimizer,epoch,loss,accuracy,f1_score,loss_std_err,accuracy_std_err,f1_score_std_err
milo_momentum_0.9,1,0.10913932151972679,96.98333333333333,0.9695372472006,0.05003600917612455,1.5807760049348512,0.016008852220250232
milo_momentum_0.9,2,0.04424419229646188,98.73666666666666,0.9872796009855703,0.024786808688566916,0.7606764776852956,0.007679009605452382
milo_momentum_0.9,3,0.03195663663430346,99.10388888888889,0.9909838349245907,0.01891338925186924,0.5788241059933591,0.0058318970040676715
milo_momentum_0.9,4,0.025595734560406383,99.29166666666667,0.9928859991511629,0.015689997257962673,0.4771714498925861,0.004808383506376869
milo_momentum_0.9,5,0.021278338710914894,99.41833333333334,0.9941649810407011,0.013610529591743671,0.4100993556218813,0.004128018236016904
milo_momentum_0.9,6,0.018396407976634187,99.52277777777779,0.9952205562515412,0.011886527913640824,0.34541485166837704,0.0034715305570134367
milo_momentum_0.9,7,0.015724642094223883,99.58277777777778,0.9958173616751832,0.010369344354220138,0.30168712842411943,0.0030323143714450673
milo_momentum_0.9,8,0.014008231068506738,99.64166666666665,0.9964121947857919,0.00933006054747726,0.2611849777314777,0.002625304853548709
milo_momentum_0.9,9,0.012560850177869239,99.68666666666667,0.9968644011096625,0.008617412780702686,0.23066530185851683,0.002316231875830557
milo_momentum_0.9,10,0.011272002524592569,99.71500000000002,0.9971477619636634,0.007805624433371503,0.21451711491764966,0.0021528260330274866
milo_momentum_0.9,11,0.01049447994274263,99.7388888888889,0.9973908625318769,0.007176802275201996,0.19224389730075403,0.0019262264493495637
milo_momentum_0.9,12,0.009498049147558252,99.76222222222223,0.9976284992657655,0.006643993954450916,0.17596646706365734,0.0017636338141016406
milo_momentum_0.9,13,0.00883161791095776,99.78500000000001,0.99785669067542,0.006236125985589238,0.1638116578856944,0.0016378869974258401
milo_momentum_0.9,14,0.007897581497512551,99.815,0.9981539351118455,0.005618167811955978,0.14405824439364007,0.0014446414032282086
milo_momentum_0.9,15,0.007280058149124267,99.82055555555554,0.9982074577735798,0.005229283283672532,0.14184737929319033,0.0014243518720381504
milo_momentum_0.0,1,0.0009860740352041627,99.97833333333334,0.9997866188397531,0.00029291708508633345,0.00822147143719059,8.034360666028317e-05
milo_momentum_0.0,2,0.00022392903301142217,99.99388888888889,0.999940795466875,0.00016228486508327813,0.003888888888889751,3.807920241902085e-05
milo_momentum_0.0,3,0.000155185137563856,99.99555555555555,0.999957090526863,0.00012421062183015882,0.0029397236789624583,2.8695702300228036e-05
milo_momentum_0.0,4,0.00012211553141380338,99.99611111111112,0.9999624108019818,9.214281421856705e-05,0.003093202423796323,3.021929699065936e-05
milo_momentum_0.0,5,9.3041824581471e-05,99.99722222222222,0.9999737157332992,7.588536980042648e-05,0.002003084041922617,1.9109795284149465e-05
milo_momentum_0.0,6,7.057430555322147e-05,99.99833333333333,0.9999844149715648,5.952161172092598e-05,0.0009622504486485012,9.052749490432235e-06
milo_momentum_0.0,7,6.394185686796921e-05,99.99833333333333,0.9999844149715648,5.293092772135901e-05,0.0009622504486485012,9.052749490432235e-06
milo_momentum_0.0,8,4.957827001148871e-05,99.99833333333333,0.9999844149715648,3.9007114832879026e-05,0.0009622504486485012,9.052749490432235e-06
milo_momentum_0.0,9,4.3052478698973575e-05,99.99888888888889,0.999989547348223,3.64652159655515e-05,0.0011111111111101006,1.0452651777015376e-05
milo_momentum_0.0,10,4.162394032032353e-05,99.99888888888889,0.999989547348223,3.798738226089074e-05,0.0011111111111101006,1.0452651777015376e-05
milo_momentum_0.0,11,3.555516720800066e-05,99.99888888888889,0.999989547348223,2.9335931671002546e-05,0.0011111111111101006,1.0452651777015376e-05
milo_momentum_0.0,12,2.9118671069596124e-05,99.99944444444445,0.9999948676233418,2.5832444881665154e-05,0.0005555555555550503,5.132376658260422e-06
milo_momentum_0.0,13,2.104457840891377e-05,99.99944444444445,0.9999948676233418,1.7579444877583183e-05,0.0005555555555550503,5.132376658260422e-06
milo_momentum_0.0,14,2.2107351285439512e-05,99.99944444444445,0.9999948676233418,1.9514455510007876e-05,0.0005555555555550503,5.132376658260422e-06
milo_momentum_0.0,15,1.4480136689876923e-05,99.99944444444445,0.9999948676233418,1.1884337567620895e-05,0.0005555555555550503,5.132376658260422e-06
milo_momentum_0.45,1,0.0019420850729100685,99.94277777777778,0.9994227324510763,0.0002188374471929469,0.006186404847587966,6.315498173365429e-05
milo_momentum_0.45,2,2.063325863301265e-05,100.0,1.0,5.780762092586602e-06,0.0,0.0
milo_momentum_0.45,3,2.9639174591459828e-06,100.0,1.0,6.422371249832682e-07,0.0,0.0
milo_momentum_0.45,4,1.8368355555048133e-06,100.0,1.0,4.1911033643002677e-07,0.0,0.0
milo_momentum_0.45,5,1.4847885755335947e-06,100.0,1.0,2.9700679050229137e-07,0.0,0.0
milo_momentum_0.45,6,1.333007346278868e-06,100.0,1.0,2.723281441792854e-07,0.0,0.0
milo_momentum_0.45,7,1.2027025191293382e-06,100.0,1.0,2.430880183626506e-07,0.0,0.0
milo_momentum_0.45,8,1.0982020639314528e-06,100.0,1.0,2.1271061974968575e-07,0.0,0.0
milo_momentum_0.45,9,1.0313227014674138e-06,100.0,1.0,2.0366945901332083e-07,0.0,0.0
milo_momentum_0.45,10,9.645334633293916e-07,100.0,1.0,1.8467479750017212e-07,0.0,0.0
milo_momentum_0.45,11,9.207689340087201e-07,100.0,1.0,1.8109663958548382e-07,0.0,0.0
milo_momentum_0.45,12,8.697075065975292e-07,100.0,1.0,1.6649378237871797e-07,0.0,0.0
milo_momentum_0.45,13,8.263470898561485e-07,100.0,1.0,1.564044895064237e-07,0.0,0.0
milo_momentum_0.45,14,7.936615568086028e-07,100.0,1.0,1.4856352524001343e-07,0.0,0.0
milo_momentum_0.45,15,7.601045706956534e-07,100.0,1.0,1.4196931341290785e-07,0.0,0.0
