duration_seconds,start_time,platform,python_version,processor,cpu_count_physical,cpu_count_logical,memory_total_gb,memory_available_gb,disk_usage_gb,hostname,cuda_available,compute_type,date,gpu_count,gpu_name,gpu_memory_total_gb,start_memory_used_gb,start_cpu_percent,end_memory_used_gb,end_cpu_percent,memory_increase_gb,optimizer,run_index,epochs,experiment_title,total_experiment_duration
36.04,2025-04-16 11:17:47,Windows-11-10.0.22631-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,47.21,931.4,DESKTOP-JA3B0L7,True,GPU,2025-04-16 11:17:47,1,NVIDIA GeForce RTX 3060,12.0,0.65,0.0,1.13,0.0,0.48,milo_momentum_0.9,0,15,MLP_MNIST Ablation: milo_ablate_momentum,312.96
35.8,2025-04-16 11:18:23,Windows-11-10.0.22631-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,46.69,931.4,DESKTOP-JA3B0L7,True,GPU,2025-04-16 11:18:23,1,NVIDIA GeForce RTX 3060,12.0,1.13,0.0,1.13,0.0,0.0,milo_momentum_0.9,1,15,MLP_MNIST Ablation: milo_ablate_momentum,312.96
34.44,2025-04-16 11:18:59,Windows-11-10.0.22631-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,46.63,931.4,DESKTOP-JA3B0L7,True,GPU,2025-04-16 11:18:59,1,NVIDIA GeForce RTX 3060,12.0,1.13,0.0,1.13,0.0,0.0,milo_momentum_0.9,2,15,MLP_MNIST Ablation: milo_ablate_momentum,312.96
33.29,2025-04-16 11:19:33,Windows-11-10.0.22631-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,46.77,931.4,DESKTOP-JA3B0L7,True,GPU,2025-04-16 11:19:33,1,NVIDIA GeForce RTX 3060,12.0,1.13,0.0,1.14,0.0,0.01,milo_momentum_0.0,0,15,MLP_MNIST Ablation: milo_ablate_momentum,312.96
32.3,2025-04-16 11:20:07,Windows-11-10.0.22631-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,46.7,931.4,DESKTOP-JA3B0L7,True,GPU,2025-04-16 11:20:07,1,NVIDIA GeForce RTX 3060,12.0,1.14,0.0,1.14,0.0,0.0,milo_momentum_0.0,1,15,MLP_MNIST Ablation: milo_ablate_momentum,312.96
33.48,2025-04-16 11:20:39,Windows-11-10.0.22631-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,46.69,931.4,DESKTOP-JA3B0L7,True,GPU,2025-04-16 11:20:39,1,NVIDIA GeForce RTX 3060,12.0,1.14,0.0,1.14,0.0,0.0,milo_momentum_0.0,2,15,MLP_MNIST Ablation: milo_ablate_momentum,312.96
34.73,2025-04-16 11:21:13,Windows-11-10.0.22631-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,46.83,931.4,DESKTOP-JA3B0L7,True,GPU,2025-04-16 11:21:13,1,NVIDIA GeForce RTX 3060,12.0,1.14,0.0,1.13,0.0,-0.01,milo_momentum_0.45,0,15,MLP_MNIST Ablation: milo_ablate_momentum,312.96
35.24,2025-04-16 11:21:47,Windows-11-10.0.22631-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,46.77,931.4,DESKTOP-JA3B0L7,True,GPU,2025-04-16 11:21:47,1,NVIDIA GeForce RTX 3060,12.0,1.13,0.0,1.15,0.0,0.02,milo_momentum_0.45,1,15,MLP_MNIST Ablation: milo_ablate_momentum,312.96
35.61,2025-04-16 11:22:23,Windows-11-10.0.22631-SP0,3.12.6,"AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",12,24,61.6,46.67,931.4,DESKTOP-JA3B0L7,True,GPU,2025-04-16 11:22:23,1,NVIDIA GeForce RTX 3060,12.0,1.15,0.0,1.15,0.0,0.0,milo_momentum_0.45,2,15,MLP_MNIST Ablation: milo_ablate_momentum,312.96
