Optimizer,Avg Reward,Success Rate (runs mean),Success Rate Std Err,Agg Success Rate (trials),Avg Eval Reward (trials),Avg Final Loss,Compute Time (s)
MILO,-22.47134979850541,1.0,0.0,1.0,14.238357207643059,0.0014057732092624064,15.815999999999999
MILO_LW,-131.12114582444755,0.6,0.24494897427831783,0.6,-182.85198373228016,0.0003873230525641702,33.996
SGD,-267.80204470141405,0.2,0.2,0.2,-251.5897857376693,0.0004611164469679352,74.604
ADAMW,8.575003277416567,1.0,0.0,1.0,15.89916725969185,0.0012811604887247086,6.814
ADAM_MINI,-75.14239478711175,0.8,0.20000000000000004,0.8,-74.75938980068128,0.000929413762059994,22.302
NOVOGRAD,-4.076134212024066,1.0,0.0,1.0,16.009149212595663,0.0011951705848332495,10.884
ADAGRAD,-116.71470612471815,0.6,0.24494897427831783,0.6,-191.02038001074968,0.0005290914588840679,34.388
ADEMAMIX,-71.79657963050643,0.8,0.20000000000000004,0.8,-74.74377447440651,0.00130445173708722,22.784000000000002
MUON,-9.052059995527216,1.0,0.0,1.0,14.896033629802817,0.0022132558515295386,19.394
