optimizer,epoch,train_loss,train_accuracy,train_f1_score,train_auc,train_loss_std_err,train_accuracy_std_err,train_f1_score_std_err,train_auc_std_err
MILO,1,1.066194274229162,61.071895424836605,0.6088113278916787,0.9326148675548158,0.0,0.0,0.0,0.0
MILO,2,0.8247801440556844,70.58562091503268,0.7068359044549795,0.9601255639167279,0.0,0.0,0.0,0.0
MILO,3,0.6156450494878433,78.56993464052287,0.7842071203389945,0.9764811302548277,0.0,0.0,0.0,0.0
MILO,4,0.439423254058252,85.17908496732026,0.8514171157776241,0.9869345632790019,0.0,0.0,0.0,0.0
MILO,5,0.29848810698939304,90.46797385620916,0.9046095806370584,0.9940098788581426,0.0,0.0,0.0,0.0
MILO_LW,1,1.037682918093563,62.9359477124183,0.6286676014118096,0.9362864931426099,0.0,0.0,0.0,0.0
MILO_LW,2,0.7723242574236752,72.58300653594772,0.7250086014528961,0.9648471434294587,0.0,0.0,0.0,0.0
MILO_LW,3,0.5545972757339478,80.82091503267974,0.8068491230383706,0.9805335092026409,0.0,0.0,0.0,0.0
MILO_LW,4,0.39527214976229696,86.48104575163399,0.8645779430367643,0.989781316784742,0.0,0.0,0.0,0.0
MILO_LW,5,0.23974246657751744,92.36339869281046,0.9236386790090412,0.9960030901489543,0.0,0.0,0.0,0.0
SGD,1,1.296315204233905,54.169934640522875,0.5326653979789399,0.9038423460987,0.0,0.0,0.0,0.0
SGD,2,0.9050459978253234,67.91111111111111,0.6754550385311626,0.9521068973480512,0.0,0.0,0.0,0.0
SGD,3,0.7171726592101303,75.29934640522876,0.751804019260018,0.9709601182987561,0.0,0.0,0.0,0.0
SGD,4,0.7503330475458133,73.97124183006535,0.7430480227139076,0.9741660882609986,0.0,0.0,0.0,0.0
SGD,5,0.3266766122602949,89.37254901960785,0.8926328468368163,0.9942403534457155,0.0,0.0,0.0,0.0
ADAMW,1,1.2750694622525982,56.45490196078431,0.5533054818255722,0.9117426352014698,0.0,0.0,0.0,0.0
ADAMW,2,1.1285612083447525,61.158169934640526,0.6021666659832196,0.9408897883190488,0.0,0.0,0.0,0.0
ADAMW,3,0.6751866774808347,76.24313725490197,0.7595014229001616,0.9725960999439781,0.0,0.0,0.0,0.0
ADAMW,4,0.604241774992226,78.8,0.7897570135771218,0.9802160587733019,0.0,0.0,0.0,0.0
ADAMW,5,0.49991265946120217,83.01176470588236,0.830961368938129,0.9863180720115754,0.0,0.0,0.0,0.0
