Optimizer,Avg Reward,Success Rate (runs mean),Success Rate Std Err,Agg Success Rate (trials),Avg Eval Reward (trials),Avg Final Loss,Compute Time (s)
MILO,-60.987038841183015,0.0,0.0,0.0,-72.07433060077338,0.0008075816920609213,45.39
MILO_LW,-60.25304673006995,0.4,0.24494897427831783,0.4,-37.66089572152079,-0.0023729109758278354,46.924
SGD,-181.21765119811283,0.2,0.2,0.2,-295.13695160954575,0.0004708205691713374,70.668
ADAMW,-99.34805916195035,0.2,0.20000000000000004,0.2,-110.55336795235195,-0.00014813346788287163,67.09799999999998
ADAM_MINI,-114.19326005705443,0.2,0.2,0.2,-199.9800780085407,-0.0001560751930810511,70.184
NOVOGRAD,-102.23230289543658,0.6,0.18973665961010278,0.6,-26.16476084143908,0.00011974706430919468,66.44
ADAGRAD,-109.66247428310533,0.2,0.2,0.2,-69.91383504626486,-0.00013995859189890324,69.01400000000001
ADEMAMIX,-89.71505595708288,0.4,0.24494897427831783,0.4,-72.76843838675144,0.00015186330128926783,62.624
